mapping_id,bit_p,bit_q,word_definition,minimum_spacing,spacing_metric,retained,baseline_mapping
W_00_01,0,1,"pack(all A except p,q)",16,supplied-grid minimum,True,True
W_00_02,0,2,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_03,0,3,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_04,0,4,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_00_05,0,5,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_06,0,6,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_00_07,0,7,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_00_08,0,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_09,0,9,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_00_10,0,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_11,0,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_12,0,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_13,0,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_14,0,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_00_15,0,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_16,0,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_00_17,0,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_00_18,0,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_00_19,0,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_00_20,0,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_01_02,1,2,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_03,1,3,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_04,1,4,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_01_05,1,5,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_06,1,6,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_01_07,1,7,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_01_08,1,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_09,1,9,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_01_10,1,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_11,1,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_12,1,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_13,1,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_14,1,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_01_15,1,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
